time,lat,lng,speed,altitude
1557587236,42.60164,-73.84117,0.0,55.78
1557587294,42.60163,-73.84117,0.0,53.95
1557587355,42.60164,-73.84116,0.0,58.83
1557587412,42.60167,-73.84114,0.0,64.92
1557587656,42.60171,-73.84112,0.0,68.88
1557587716,42.60167,-73.84112,0.0,66.75
1557587774,42.60164,-73.84109,0.0,63.7
1557587835,42.60171,-73.84114,1.0,65.84
1557587895,42.60169,-73.84114,0.0,61.87
1557587953,42.60167,-73.84112,0.0,60.96
1557588018,42.60166,-73.84114,0.0,57.91
1557588076,42.60168,-73.84117,0.0,62.79
1557588134,42.60169,-73.84114,0.0,66.75
1557588193,42.60167,-73.84113,0.0,67.97
1557588254,42.60164,-73.84113,0.0,64.92
1557588316,42.60168,-73.84116,0.0,61.87
1557588374,42.60167,-73.84117,0.0,70.71
1557588434,42.60168,-73.84116,0.0,66.75
1557588496,42.60168,-73.8412,0.0,71.93
1557588555,42.60169,-73.84114,0.0,67.97
1557588618,42.60169,-73.84117,0.0,71.93
1557588675,42.6017,-73.84117,0.0,65.84
1557588734,42.60168,-73.84116,0.0,70.71
1557588795,42.60166,-73.84118,0.0,75.9
1557588856,42.60168,-73.84118,0.0,71.93
1557588915,42.60169,-73.84117,0.0,64.92
1557589096,42.60167,-73.84114,0.0,64.92
1557589216,42.60169,-73.84117,0.0,58.83
1557589335,42.60166,-73.84114,0.0,63.7
1557589454,42.6017,-73.8412,0.0,57.91
1557589514,42.60171,-73.8412,0.0,57.0
1557589575,42.6017,-73.84114,0.0,54.86
1557589637,42.60169,-73.84114,0.0,55.78
1557589696,42.60169,-73.84117,0.0,53.95
1557589755,42.6017,-73.84118,0.0,53.95
1557589817,42.60173,-73.84118,0.0,52.73
1557589877,42.60172,-73.8412,0.0,57.0
1557589935,42.60171,-73.8412,0.0,53.95
1557589996,42.60172,-73.8412,0.0,59.74
1557590173,42.60171,-73.84118,0.0,58.83
1557590235,42.6017,-73.84117,0.0,64.92
1557590413,42.60169,-73.84118,0.0,69.8
1557590475,42.60168,-73.84114,0.0,67.97
1557590535,42.60169,-73.84116,0.0,66.75
1557590595,42.60172,-73.8412,0.0,57.0
1557590714,42.60173,-73.8412,0.0,58.83
1557590775,42.60172,-73.8412,0.0,60.96
1557590833,42.6017,-73.8412,0.0,64.92
1557590893,42.60169,-73.8412,0.0,65.84
1557594856,42.60168,-73.8412,0.0,66.75
1557594916,42.60167,-73.84118,0.0,69.8
1557594975,42.60168,-73.8412,0.0,67.97
1557595035,42.60165,-73.84117,0.0,68.88
1557595093,42.60167,-73.8412,0.0,64.92
1557595155,42.6017,-73.84117,0.0,62.79
1557595213,42.60169,-73.8412,0.0,58.83
1557595274,42.60168,-73.84118,0.0,63.7
1557595336,42.60167,-73.84117,0.0,63.7
1557595397,42.60168,-73.84118,0.0,68.88
1557595515,42.60168,-73.84113,0.0,65.84
1557595575,42.60166,-73.84117,0.0,64.92
1557595633,42.60165,-73.84116,0.0,66.75
1557595697,42.60168,-73.84114,0.0,64.92
1557595757,42.60167,-73.84117,0.0,66.75
1557595814,42.60168,-73.84114,0.0,65.84
1557595873,42.6017,-73.84117,0.0,67.97
1557595934,42.60169,-73.84117,0.0,64.92
1557595995,42.6017,-73.84114,0.0,69.8
1557596055,42.60174,-73.84114,0.0,78.94
1557596114,42.60167,-73.84114,0.0,57.91
1557596176,42.60165,-73.84132,1.0,50.9
1557596235,42.60169,-73.84113,1.0,64.92
1557596356,42.60169,-73.84116,0.0,62.79
1557596413,42.60168,-73.84114,0.0,64.92
1557596536,42.60169,-73.84117,0.0,60.96
1557596653,42.60165,-73.84112,0.0,60.96
1557596718,42.60164,-73.84112,0.0,61.87
1557596775,42.60161,-73.84111,0.0,63.7
1557596835,42.60164,-73.84114,0.0,67.97
1557596896,42.60163,-73.84112,0.0,66.75
1557596957,42.60161,-73.84112,0.0,65.84
1557597016,42.60163,-73.84108,0.0,62.79
1557597076,42.60161,-73.84111,0.0,61.87
1557597193,42.60164,-73.84112,0.0,63.7
1557597255,42.60164,-73.84116,0.0,62.79
1557597317,42.60164,-73.84114,0.0,61.87
1557597434,42.60166,-73.84117,0.0,62.79
1557597496,42.60167,-73.84116,0.0,64.92
1557597557,42.60165,-73.84112,0.0,66.75
1557597615,42.60164,-73.84112,0.0,65.84
1557597676,42.60165,-73.84113,0.0,65.84
1557597793,42.60164,-73.84113,0.0,64.92
1557597853,42.60165,-73.84114,0.0,65.84
1557597915,42.60166,-73.84111,0.0,64.92
1557597974,42.60167,-73.84114,0.0,69.8
1557598034,42.60168,-73.84114,0.0,65.84
1557598093,42.60169,-73.84117,0.0,65.84
1557598154,42.60167,-73.84117,0.0,65.84
1557598216,42.60168,-73.84117,0.0,61.87
1557598275,42.60167,-73.84114,0.0,61.87
1557598333,42.60167,-73.84112,0.0,65.84
1557598394,42.60166,-73.84114,0.0,65.84
1557598454,42.60168,-73.84113,0.0,64.92
1557598513,42.60164,-73.84105,0.0,63.7
1557598572,42.60159,-73.84108,0.0,61.87
1557598695,42.60161,-73.84101,0.0,71.93
1557598755,42.60163,-73.84103,0.0,64.92
1557598813,42.60161,-73.84103,0.0,64.92
1557598874,42.60163,-73.84105,0.0,61.87
1557598937,42.60161,-73.84105,0.0,68.88
1557598996,42.6016,-73.84105,0.0,67.97
1557599056,42.60168,-73.84108,1.0,67.97
1557599117,42.60171,-73.84108,0.0,70.71
1557599173,42.60172,-73.84108,0.0,62.79
1557599235,42.60171,-73.84108,0.0,60.96
1557599294,42.60172,-73.84111,0.0,59.74
1557599357,42.60172,-73.84113,0.0,60.96
1557599416,42.60171,-73.84112,0.0,63.7
1557599477,42.60172,-73.84113,0.0,63.7
1557599538,42.60126,-73.83785,16.0,195.99
1557599596,42.6,-73.83502,17.0,581.86
1557599658,42.59747,-73.83204,22.0,1068.93
1557599715,42.59464,-73.82899,25.0,1510.89
1557599776,42.59221,-73.82689,19.0,1833.68
1557599835,42.5879,-73.82297,35.0,2097.94
1557599896,42.5842,-73.8135,52.0,2355.8
1557599956,42.58175,-73.80242,57.0,2633.78
1557600017,42.57931,-73.78906,66.0,2918.76
1557600134,42.57447,-73.76052,74.0,3440.89
1557600197,42.57472,-73.74352,80.0,3715.82
1557600257,42.57481,-73.72567,88.0,3991.66
1557600314,42.57522,-73.70594,102.0,4281.83
1557600373,42.57629,-73.68503,105.0,4544.87
1557600433,42.57829,-73.66263,111.0,4821.94
1557600496,42.58059,-73.63971,108.0,5128.87
1557600557,42.58222,-73.61617,114.0,5426.66
1557600615,42.58387,-73.59392,114.0,5710.73
1557600674,42.58506,-73.57119,114.0,6004.86
1557600733,42.58618,-73.548,116.0,6299.91
1557600797,42.58389,-73.5223,119.0,6619.65
1557600857,42.5827,-73.49496,134.0,6899.76
1557600913,42.58237,-73.46927,135.0,7173.77
1557600973,42.5819,-73.43979,145.0,7467.9
1557601037,42.58242,-73.40835,145.0,7800.75
1557601096,42.58301,-73.3794,145.0,8125.66
1557601155,42.58389,-73.35002,147.0,8445.7
1557601214,42.58394,-73.31941,153.0,8758.73
1557601275,42.58367,-73.28533,165.0,9131.81
1557601336,42.58276,-73.25021,170.0,9469.83
1557601394,42.58078,-73.21434,183.0,9879.79
1557601455,42.57721,-73.17758,179.0,10282.73
1557601515,42.57377,-73.13802,196.0,10631.73
1557601575,42.56903,-73.09714,203.0,10980.72
1557601634,42.56268,-73.0551,214.0,11310.82
1557601694,42.55814,-73.01668,191.0,11655.86
1557601754,42.5566,-72.97691,196.0,12053.62
1557601813,42.55947,-72.93648,203.0,12440.72
1557601873,42.56307,-72.89182,221.0,12799.77
1557601937,42.56167,-72.84906,197.0,13163.7
1557601997,42.5603,-72.81804,153.0,13469.72
1557602057,42.56093,-72.79062,135.0,13809.57
1557602112,42.56201,-72.76686,128.0,14126.57
1557602177,42.5645,-72.74037,121.0,14458.8
1557602233,42.56495,-72.71413,138.0,14768.78
1557602295,42.56283,-72.6904,114.0,15080.59
1557602355,42.56224,-72.66896,105.0,15381.73
1557602415,42.56134,-72.64648,111.0,15731.64
1557602473,42.56031,-72.62607,104.0,16051.68
1557602533,42.55737,-72.6072,95.0,16385.74
1557602597,42.55494,-72.58346,110.0,16754.55
1557602655,42.54941,-72.56954,80.0,17105.68
1557602715,42.54696,-72.56195,41.0,17467.78
1557602773,42.54844,-72.55419,41.0,17807.64
1557602835,42.54862,-72.54622,38.0,18128.59
1557602896,42.55027,-72.54066,29.0,18439.49
1557602954,42.55302,-72.53326,42.0,18745.5
1557603013,42.55377,-72.52313,51.0,19096.63
1557603074,42.55264,-72.51497,40.0,19458.74
1557603136,42.55221,-72.51136,17.0,19855.59
1557603196,42.55388,-72.50654,26.0,20238.72
1557603257,42.55553,-72.50127,28.0,20583.45
1557603316,42.55679,-72.49467,34.0,20910.5
1557603374,42.55452,-72.4897,30.0,21226.58
1557603434,42.55205,-72.48972,16.0,21554.54
1557603497,42.55264,-72.48851,7.0,21895.61
1557603556,42.55243,-72.48719,7.0,22204.68
1557603617,42.55351,-72.48574,10.0,22541.48
1557603673,42.55282,-72.48155,23.0,22871.58
1557603736,42.55182,-72.47697,22.0,23233.68
1557603797,42.55302,-72.47557,10.0,23579.63
1557603853,42.55362,-72.47406,9.0,23899.67
1557603912,42.55402,-72.47243,9.0,24245.62
1557603977,42.55463,-72.47108,7.0,24610.47
1557604034,42.55465,-72.46752,18.0,24939.65
1557604096,42.55383,-72.46582,10.0,25292.61
1557604156,42.55533,-72.46412,13.0,25648.62
1557604213,42.55713,-72.46131,19.0,25976.58
1557604274,42.55696,-72.45721,20.0,26339.6
1557604334,42.55742,-72.45432,15.0,26701.39
1557604394,42.55617,-72.45174,15.0,27048.56
1557604454,42.55682,-72.44912,14.0,27384.45
1557604517,42.55882,-72.44715,16.0,27761.49
1557604576,42.55994,-72.44211,26.0,28107.44
1557604637,42.5624,-72.43625,33.0,28456.43
1557604696,42.5645,-72.43093,30.0,28810.61
1557604754,42.5675,-72.42607,32.0,29153.51
1557604813,42.57008,-72.41983,36.0,29498.54
1557604876,42.57493,-72.41512,38.0,29855.46
1557604933,42.58135,-72.40972,53.0,30176.42
1557604997,42.58598,-72.4024,44.0,30549.49
1557605057,42.58907,-72.39564,39.0,30238.6
1557605117,42.58855,-72.39482,5.0,27643.53
1557605178,42.58723,-72.38874,31.0,25568.45
1557605235,42.58719,-72.38737,7.0,23748.49
1557605294,42.58685,-72.3832,206.0,22253.45
1557605357,42.58732,-72.37924,19.0,20967.5
1557605414,42.58812,-72.37131,41.0,19853.76
1557605475,42.58878,-72.36381,36.0,18814.69
1557605534,42.59056,-72.35565,42.0,18030.75
1557605597,42.59234,-72.34832,36.0,17230.65
1557605655,42.58806,-72.33442,77.0,16417.75
1557605715,42.58658,-72.31401,101.0,15618.56
1557605774,42.58435,-72.29,121.0,14873.63
1557605835,42.58502,-72.26308,130.0,14009.83
1557605896,42.58416,-72.23355,143.0,13206.68
1557605953,42.58437,-72.19374,206.0,12513.56
1557606014,42.58623,-72.15299,197.0,11794.85
1557606077,42.58178,-72.11311,189.0,11098.68
1557606134,42.57748,-72.07186,215.0,10506.76
1557606196,42.57441,-72.03232,189.0,9906.61
1557606253,42.5741,-71.9989,173.0,9460.69
1557606316,42.57316,-71.96236,171.0,9038.84
1557606375,42.57405,-71.93252,149.0,8643.82
1557606433,42.57508,-71.89888,171.0,8254.9
1557606496,42.57504,-71.86378,164.0,7859.88
1557606556,42.57442,-71.8355,139.0,7470.65
1557606616,42.57428,-71.80591,145.0,7113.73
1557606677,42.57378,-71.77595,145.0,6762.9
1557606733,42.57133,-71.75251,125.0,6426.71
1557606796,42.57141,-71.72691,120.0,6058.81
1557606857,42.57153,-71.70252,118.0,5695.8
1557606914,42.57187,-71.68194,106.0,5377.89
1557606978,42.57199,-71.65595,120.0,5055.72
1557607035,42.57181,-71.63304,118.0,4766.77
1557607096,42.57158,-71.60908,116.0,4434.84
1557607156,42.56992,-71.58791,105.0,4099.86
1557607216,42.5683,-71.56767,100.0,3795.67
1557607274,42.56644,-71.55273,77.0,3492.7
1557607334,42.56484,-71.53786,74.0,3154.68
1557607396,42.56255,-71.52227,76.0,2820.92
1557607456,42.56151,-71.51083,309.0,2520.7
1557607516,42.55905,-71.50219,45.0,2245.77
1557607576,42.5551,-71.49549,42.0,2007.72
1557607637,42.55331,-71.49299,17.0,1776.68
1557607696,42.55202,-71.49075,14.0,1558.75
1557607755,42.54927,-71.48975,19.0,1367.94
1557607814,42.547,-71.48926,16.0,1224.69
1557607877,42.54455,-71.48948,16.0,1094.84
1557607937,42.54033,-71.48836,29.0,1024.74
1557607993,42.53661,-71.48603,29.0,992.73
1557608057,42.53287,-71.48226,29.0,869.9
1557608112,42.53163,-71.47823,23.0,731.82
1557608177,42.53058,-71.47497,16.0,630.94
1557608235,42.52953,-71.4724,15.0,478.84
1557608293,42.52837,-71.47116,10.0,314.86
